Implementation,Timestamp,Load_Level,Prometheus_Success,Gatling_Total,Gatling_Success,Gatling_Failed,Error_Rate_%,Prom_Gatling_Delta_%,GC_Time_ms,GC_Collections,Heap_Peak_GB,Heap_Peak_%,CPU_Peak_%,Sync_Status,Error_Status,P50_ms,P75_ms,P95_ms,P99_ms,Min_ms,Mean_ms,Max_ms,StdDev_ms,Req_Per_Sec,Under_800ms,Under_800ms_%,Between_800_1200ms,Between_800_1200ms_%,Over_1200ms,Over_1200ms_%
clojure-interop-java,20251216-181113,500,150084,150000,150000,0,0,0,0,0,2.33,38.00,65.29,EXCELLENT,EXCELLENT,1,1,10,1726,0,55,6612,349,500.0,146463,98,848,1,2689,2
clojure-interop-java,20251216-182355,500,150078,150000,150000,0,0,0,312.000,6,2.33,38.00,67.86,EXCELLENT,EXCELLENT,1,1,3,1686,0,50,5421,299,500.0,146222,97,1299,1,2479,2
clojure-interop-java,20251216-183612,500,150077,150000,150000,0,0,0,55.000,4,2.31,38.00,64.77,EXCELLENT,EXCELLENT,1,1,2,1011,0,28,3913,192,500.0,148030,99,761,1,1209,1
clojure-interop-java,20251216-184816,500,150077,150000,150000,0,0,0,201.000,5,2.36,39.00,66.33,EXCELLENT,EXCELLENT,1,1,4,1498,0,51,5917,315,500.0,146516,98,1258,1,2226,1
clojure-interop-java,20251216-190008,500,150077,150000,150000,0,0,0,459.000,6,2.34,39.00,65.15,EXCELLENT,EXCELLENT,1,1,6,2276,0,68,6896,413,500.0,145886,97,845,1,3269,2



clojure-interop-java,20251216-191228,500,150078,150000,150000,0,0,0,0,0,2.35,39.00,87.69,EXCELLENT,EXCELLENT,1,1,2278,7197,0,316,13899,1263,500.0,137063,91,1441,1,11496,8
java,20251217-060919,1000,300079,300000,300000,0,0,0,0,0,2.33,38.00,84.28,EXCELLENT,EXCELLENT,1,1,5106,8920,0,543,13377,1786,1000.0,269069,90,1639,1,29292,10
java,20251217-062147,1000,300078,300000,300000,0,0,0,549.000,11,2.34,39.00,77.98,EXCELLENT,EXCELLENT,1,1,5420,9186,0,587,15800,1857,1000.0,265423,88,771,0,33806,11
java,20251217-063415,1000,300078,300000,300000,0,0,0,986.000,12,2.31,38.00,78.97,EXCELLENT,EXCELLENT,1,1,4799,8148,0,530,14482,1677,1000.0,266612,89,807,0,32581,11
java,20251217-064651,1000,300080,300000,300000,0,0,0,0,0,2.30,38.00,81.11,EXCELLENT,EXCELLENT,1,1,6068,13773,0,918,23005,2680,1000.0,257505,86,576,0,41919,14
java,20251217-065950,1000,272982,300000,270880,29120,9.700,.700,9555.000,50,1.20,20.00,72.67,GOOD,HIGH,8872,46234,98447,148247,1,27538,212301,35842,837.9888268156425,76691,26,19734,7,174455,58
java,20251217-071209,1000,300079,300000,300000,0,0,0,0,0,2.37,39.00,78.64,EXCELLENT,EXCELLENT,1,1,3997,9767,0,545,16892,1827,1000.0,266503,89,1423,0,32074,11

clojure-idiomatic,20251217-133751,1000,300078,300000,300000,0,0,0,0,0,2.36,39.00,76.92,EXCELLENT,EXCELLENT,1,1,4976,9453,0,562,14895,1837,1000.0,266469,89,1272,0,32259,11
clojure-idiomatic,20251217-135048,1000,300080,300000,300000,0,0,0,887.000,14,2.35,39.00,82.26,EXCELLENT,EXCELLENT,1,1,4872,10202,0,667,18628,2025,1000.0,261089,87,1477,0,37434,12
clojure-idiomatic,20251217-140417,1000,300082,300000,300000,0,0,0,1339.000,18,2.35,39.00,75.22,EXCELLENT,EXCELLENT,1,1,5260,9555,0,619,15706,1901,1000.0,262222,87,1197,0,36581,12
clojure-idiomatic,20251217-141645,1000,300080,300000,300000,0,0,0,936.000,16,2.29,38.00,79.06,EXCELLENT,EXCELLENT,1,1,4296,9801,0,530,14034,1767,1000.0,266421,89,1587,1,31992,11
clojure-idiomatic,20251217-142911,1000,300080,300000,300000,0,0,0,0,0,2.36,39.00,79.28,EXCELLENT,EXCELLENT,1,1,4534,10193,0,598,17922,1905,1000.0,264095,88,684,0,35221,12
clojure-idiomatic,20251217-144110,1000,300078,300000,300000,0,0,0,1566.000,16,2.36,39.00,84.64,EXCELLENT,EXCELLENT,1,1,5289,13317,0,795,22882,2483,1000.0,258630,86,1337,0,40033,13

clojure-interop-java,20251217-183914,1000,300080,300000,300000,0,0,0,1426.000,15,2.34,39.00,81.46,EXCELLENT,EXCELLENT,1,1,5909,9519,0,698,15584,2031,1000.0,260077,87,1654,1,38269,13
clojure-interop-java,20251217-185151,1000,300078,300000,300000,0,0,0,1063.000,14,2.32,38.00,77.43,EXCELLENT,EXCELLENT,1,1,4473,9926,0,549,18990,1830,1000.0,266865,89,917,0,32218,11
clojure-interop-java,20251217-190440,1000,300081,300000,300000,0,0,0,2297.000,21,2.36,39.00,74.70,EXCELLENT,EXCELLENT,1,1,14934,21394,0,1499,33452,4511,1000.0,248263,83,8020,3,43717,15
clojure-interop-java,20251217-191947,1000,300078,300000,300000,0,0,0,573.000,11,2.34,39.00,78.21,EXCELLENT,EXCELLENT,1,1,5346,9807,0,622,15697,1934,1000.0,263504,88,780,0,35716,12
clojure-interop-java,20251217-193513,1000,300078,300000,300000,0,0,0,1051.000,13,2.37,39.00,77.81,EXCELLENT,EXCELLENT,1,1,5094,10102,0,670,17921,2008,1000.0,259050,86,2212,1,38738,13
clojure-interop-java,20251217-194726,1000,300078,300000,300000,0,0,0,0,0,2.34,39.00,84.66,EXCELLENT,EXCELLENT,1,1,6115,10886,0,729,19787,2195,1000.0,262565,88,595,0,36840,12
