Implementation,Timestamp,Load_Level,Prometheus_Success,Gatling_Total,Gatling_Success,Gatling_Failed,Error_Rate_%,Prom_Gatling_Delta_%,GC_Time_ms,GC_Collections,Heap_Peak_GB,Heap_Peak_%,CPU_Peak_%,Sync_Status,Error_Status,P50_ms,P75_ms,P95_ms,P99_ms,Min_ms,Mean_ms,Max_ms,StdDev_ms,Req_Per_Sec
java,20260508-055200,100,30088,30000,30000,0,0,.200,32.000000000000002000,2,1.03,17.00,44.56,GOOD,EXCELLENT,2,2,3,4,0,2,90,1,100.0
java,20260508-060537,100,30081,30000,30000,0,0,.200,35.000,2,1.00,16.00,45.14,GOOD,EXCELLENT,2,2,2,4,0,2,404,8,100.0
java,20260508-061812,100,30077,30000,30000,0,0,.200,38.000000000000006000,2,0.99,16.00,47.51,GOOD,EXCELLENT,2,2,2,4,0,2,103,2,100.0
java,20260508-063054,100,30080,30000,30000,0,0,.200,14.000,1,0.89,14.00,57.77,GOOD,EXCELLENT,2,2,3,4,0,2,223,3,100.0
java,20260508-064227,100,30077,30000,30000,0,0,.200,14.000,1,1.37,22.00,2.57,GOOD,EXCELLENT,1,2,2,3,0,1,16,1,100.0
java,20260508-065544,100,30087,30000,30000,0,0,.200,32.000000000000004000,2,1.00,16.00,34.98,GOOD,EXCELLENT,2,2,2,4,0,2,91,1,100.0
clojure-idiomatic,20260508-132252,100,30077,30000,30000,0,0,.200,31.000,2,0.99,16.00,36.07,GOOD,EXCELLENT,2,2,2,4,0,2,99,2,100.0
clojure-idiomatic,20260508-133632,100,30078,30000,30000,0,0,.200,16.000000000000002000,1,1.00,16.00,41.00,GOOD,EXCELLENT,2,2,2,4,0,2,199,3,100.0
clojure-idiomatic,20260508-135048,100,30078,30000,30000,0,0,.200,32.000000000000002000,2,0.98,16.00,49.11,GOOD,EXCELLENT,2,2,2,4,0,2,140,2,100.0
clojure-idiomatic,20260508-140405,100,30078,30000,30000,0,0,.200,15.999999999999996000,1,0.92,15.00,43.36,GOOD,EXCELLENT,1,2,2,4,0,2,89,1,100.0
clojure-idiomatic,20260508-141656,100,30077,30000,30000,0,0,.200,29.000,2,0.85,14.00,45.85,GOOD,EXCELLENT,1,2,2,4,0,2,108,2,100.0
clojure-idiomatic,20260508-143012,100,30077,30000,30000,0,0,.200,0,0,1.59,26.00,37.63,GOOD,EXCELLENT,2,2,2,4,0,2,80,1,100.0
clojure-interop-java,20260508-160258,100,30077,30000,30000,0,0,.200,34.000000000000004000,2,0.84,14.00,44.85,GOOD,EXCELLENT,2,2,2,4,0,2,198,3,100.0
clojure-interop-java,20260508-161937,100,30078,30000,30000,0,0,.200,0,0,1.60,26.00,49.61,GOOD,EXCELLENT,2,2,2,4,0,2,127,2,100.0
clojure-interop-java,20260508-163249,100,30079,30000,30000,0,0,.200,33.000,2,1.06,17.00,39.95,GOOD,EXCELLENT,2,2,2,4,0,2,102,2,100.0
clojure-interop-java,20260508-164600,100,30077,30000,30000,0,0,.200,16.000000000000002000,1,0.99,16.00,41.15,GOOD,EXCELLENT,2,2,3,4,0,2,84,1,100.0
clojure-interop-java,20260508-165918,100,30077,30000,30000,0,0,.200,33.000000000000003000,2,0.77,12.00,39.21,GOOD,EXCELLENT,2,2,2,4,0,2,119,2,100.0
