Implementation,Timestamp,Load_Level,Prometheus_Success,Gatling_Total,Gatling_Success,Gatling_Failed,Error_Rate_%,Prom_Gatling_Delta_%,GC_Time_ms,GC_Collections,Heap_Peak_GB,Heap_Peak_%,CPU_Peak_%,Sync_Status,Error_Status,P50_ms,P75_ms,P95_ms,P99_ms,Min_ms,Mean_ms,Max_ms,StdDev_ms,Req_Per_Sec
clojure-interop-java,20260508-171056,100,30077,30000,30000,0,0,.200,12.999999999999997000,1,1.34,22.00,2.77,GOOD,EXCELLENT,1,2,2,3,0,1,15,1,100.0
java,20260509-084037,500,150091,150000,150000,0,0,0,329.000000000000032000,6,2.38,39.00,66.15,EXCELLENT,EXCELLENT,1,1,17,1991,0,61,6623,361,500.0
java,20260509-085434,500,150077,150000,150000,0,0,0,74.000,5,2.35,39.00,67.96,EXCELLENT,EXCELLENT,1,1,110,2812,0,89,8120,515,500.0
java,20260509-090808,500,150084,150000,150000,0,0,0,83.000000000000003000,5,2.34,39.00,67.17,EXCELLENT,EXCELLENT,1,1,28,2920,0,84,7271,478,500.0
java,20260509-092244,500,150080,150000,150000,0,0,0,131.000,7,2.36,39.00,65.04,EXCELLENT,EXCELLENT,1,1,24,2181,0,70,5876,395,500.0
java,20260509-093525,500,150078,150000,150000,0,0,0,218.00000000000002000,5,2.28,38.00,65.97,EXCELLENT,EXCELLENT,1,1,2,824,0,28,4995,190,500.0
java,20260509-094824,500,150082,150000,150000,0,0,0,469.000,6,2.27,37.00,74.27,EXCELLENT,EXCELLENT,1,1,699,3915,0,136,9207,689,500.0
clojure-idiomatic,20260509-125016,500,150077,150000,150000,0,0,0,161.000000000000002000,6,2.37,39.00,66.12,EXCELLENT,EXCELLENT,1,1,2,994,0,29,3799,190,500.0
clojure-idiomatic,20260509-130318,500,150078,150000,150000,0,0,0,102.99999999999999000,7,2.30,38.00,68.17,EXCELLENT,EXCELLENT,1,1,15,1593,0,50,5508,297,500.0
clojure-idiomatic,20260509-131642,500,150078,150000,150000,0,0,0,474.000,8,2.39,39.00,87.99,EXCELLENT,EXCELLENT,1,1,2104,5635,0,255,12910,1036,500.0
clojure-idiomatic,20260509-132910,500,150077,150000,150000,0,0,0,124.000,6,2.27,37.00,69.53,EXCELLENT,EXCELLENT,1,1,272,2891,0,98,8105,533,500.0
clojure-idiomatic,20260509-134210,500,150077,150000,150000,0,0,0,129.000,7,2.36,39.00,67.07,EXCELLENT,EXCELLENT,1,1,15,1895,0,58,5524,344,500.0
clojure-idiomatic,20260509-135521,500,150079,150000,150000,0,0,0,115.000,6,2.35,39.00,70.78,EXCELLENT,EXCELLENT,1,1,211,2872,0,96,8204,526,500.0
clojure-interop-java,20260509-150607,500,150078,150000,150000,0,0,0,875.000,10,2.17,36.00,87.97,EXCELLENT,EXCELLENT,13690,21348,25821,30252,0,11859,47818,10179,500.0
clojure-interop-java,20260509-151938,500,150080,150000,150000,0,0,0,144.000,6,2.33,38.00,65.58,EXCELLENT,EXCELLENT,1,1,20,1902,0,60,6783,348,500.0
clojure-interop-java,20260509-153257,500,150078,150000,150000,0,0,0,77.99999999999999000,5,2.36,39.00,82.41,EXCELLENT,EXCELLENT,1,1,609,2354,0,94,9580,449,500.0
clojure-interop-java,20260509-154552,500,150078,150000,150000,0,0,0,308.000,6,2.36,39.00,68.02,EXCELLENT,EXCELLENT,1,1,16,1426,0,49,5676,288,500.0
clojure-interop-java,20260509-155836,500,150078,150000,150000,0,0,0,250.000000000000003000,6,2.36,39.00,68.71,EXCELLENT,EXCELLENT,1,1,16,1890,0,59,6290,341,500.0
clojure-interop-java,20260509-161108,500,150078,150000,150000,0,0,0,508.000,6,2.30,38.00,70.31,EXCELLENT,EXCELLENT,1,1,420,2913,0,103,7486,552,500.0
java,20260513-180811,1000,300068,300000,299988,12,0,0,1340.000,14,2.33,38.00,77.80,EXCELLENT,EXCELLENT,1,1,6408,13041,0,902,20655,2623,1000.0
java,20260513-182132,1000,300078,300000,300000,0,0,0,622.000000000000003000,10,2.39,39.00,78.58,EXCELLENT,EXCELLENT,1,1,4672,10176,0,563,17454,1899,1000.0
java,20260513-183424,1000,300080,300000,300000,0,0,0,1547.000,16,2.33,38.00,82.43,EXCELLENT,EXCELLENT,1,1,7891,11604,0,932,20307,2559,1000.0
java,20260513-184801,1000,300079,300000,300000,0,0,0,1397.9999999999998000,15,2.33,38.00,78.40,EXCELLENT,EXCELLENT,1,1,4577,9584,0,566,17066,1821,1000.0
java,20260513-190147,1000,300081,300000,300000,0,0,0,1048.000000000000002000,13,2.35,39.00,73.68,EXCELLENT,EXCELLENT,1,1,5767,9148,0,606,15992,1919,1000.0
java,20260513-191552,1000,249707,300000,243970,56030,18.600,2.300,9527.000000000000003000,49,0.80,13.00,83.23,WARNING,HIGH,20374,60544,114468,141789,0,35817,182679,40646,857.1428571428571
clojure-idiomatic,20260513-203149,1000,300078,300000,300000,0,0,0,1128.999999999999803000,16,2.32,38.00,82.95,EXCELLENT,EXCELLENT,1,1,5320,9602,0,661,14315,1929,1000.0
clojure-idiomatic,20260513-204504,1000,299087,300000,298059,1941,.600,.300,3037.9999999999997000,25,0.95,15.00,68.33,GOOD,GOOD,1,1080,17889,26109,0,2854,60002,6688,1000.0
clojure-idiomatic,20260513-205810,1000,300079,300000,299998,2,0,0,2165.000,21,0.95,15.00,80.56,EXCELLENT,EXCELLENT,1,3381,17349,22905,0,2671,60005,5419,1000.0
clojure-idiomatic,20260513-211125,1000,300079,300000,300000,0,0,0,1186.000,16,2.33,38.00,81.33,EXCELLENT,EXCELLENT,1,1,7788,11194,0,889,15963,2512,1000.0
clojure-idiomatic,20260513-212512,1000,300079,300000,300000,0,0,0,1676.000000000000002000,18,2.35,39.00,83.33,EXCELLENT,EXCELLENT,1,1,7992,12361,0,974,22783,2696,1000.0
clojure-idiomatic,20260513-213924,1000,243910,300000,237007,62993,20.900,2.900,11308.000,57,1.60,26.00,76.06,WARNING,HIGH,16191,60142,113354,129507,0,33269,172481,39169,874.6355685131196
clojure-interop-java,20260514-060529,1000,233158,300000,225865,74135,24.700,3.200,7454.000000000000003000,34,1.14,19.00,85.72,WARNING,HIGH,22395,62568,107454,131340,0,36354,178913,38417,864.5533141210375
clojure-interop-java,20260514-061833,1000,299976,300000,299896,104,0,0,1548.000,14,2.32,38.00,81.67,EXCELLENT,EXCELLENT,1,1,7416,15363,0,1078,30309,3110,1000.0
clojure-interop-java,20260514-063103,1000,300078,300000,300000,0,0,0,1232.000000000000002000,13,2.37,39.00,77.90,EXCELLENT,EXCELLENT,1,1,4740,9377,0,555,13310,1782,1000.0
clojure-interop-java,20260514-064330,1000,300078,300000,300000,0,0,0,1044.000000000000002000,12,2.30,38.00,80.25,EXCELLENT,EXCELLENT,1,1,5022,11055,0,703,18206,2103,1000.0
clojure-interop-java,20260514-065727,1000,300097,300000,300000,0,0,0,627.000000000000002000,11,2.38,39.00,75.39,EXCELLENT,EXCELLENT,1,1,5479,10378,0,700,21295,2079,1000.0
clojure-interop-java,20260514-071028,1000,300078,300000,300000,0,0,0,624.000,12,2.36,39.00,77.83,EXCELLENT,EXCELLENT,1,1,5906,13156,0,875,25598,2605,1000.0
